icao,name,country,type,lat,lon,elev_m,runway,heading_deg,length_m,width_m,surface
EPKR,KROSNO,PL,airfield_civil,49.68111000,21.73667000,280,29R,287,1035,100,grass
EPKR,KROSNO,PL,airfield_civil,49.68111000,21.73667000,280,16,157,730,100,grass
EPKR,KROSNO,PL,airfield_civil,49.68111000,21.73667000,280,34,337,730,100,grass
EPWK,KRUSZYN K/WOCŁAWKA,PL,airfield_civil,52.58462000,19.01250000,66,08L,81,1000,71,grass
EPWK,KRUSZYN K/WOCŁAWKA,PL,airfield_civil,52.58462000,19.01250000,66,26R,261,1000,70,grass
EPWK,KRUSZYN K/WOCŁAWKA,PL,airfield_civil,52.58462000,19.01250000,66,08R,81,1000,80,grass
EPWK,KRUSZYN K/WOCŁAWKA,PL,airfield_civil,52.58462000,19.01250000,66,26L,261,1000,80,grass
,KRZESZYCE,PL,airfield_civil,52.59972000,14.99528000,9,02,23,320,25,grass
,KRZESZYCE,PL,airfield_civil,52.59972000,14.99528000,9,20,203,320,25,grass
,KRYNICE KOLONIA,PL,airfield_civil,53.23111000,23.04500000,177,11,113,521,20,grass
,KRYNICE KOLONIA,PL,airfield_civil,53.23111000,23.04500000,177,29,293,521,20,grass
,KRYNICE KOLONIA,PL,airfield_civil,53.23111000,23.04500000,177,18,2,315,30,grass
,KRYNICE KOLONIA,PL,airfield_civil,53.23111000,23.04500000,177,36,182,315,30,grass
,KRZYWA,PL,airfield_civil,51.31028000,15.72722000,204,10,100,2450,60,concrete
,KRZYWA,PL,airfield_civil,51.31028000,15.72722000,204,28,280,2450,60,concrete
,KUCZYN,PL,airfield_civil,52.72194000,22.52194000,121,16,156,686,18,grass
,KUCZYN,PL,airfield_civil,52.72194000,22.52194000,121,34,336,686,18,grass
EPKU,KUKAŁY,PL,airfield_civil,51.87528000,21.00306000,129,17,169,700,45,grass
EPKU,KUKAŁY,PL,airfield_civil,51.87528000,21.00306000,129,35,349,700,45,grass
,KURNATOWICE,PL,airfield_civil,52.59194000,16.08694000,85,18,180,380,30,grass
